Produkt (100g)	kcl	bia³ka	t³uszcze 	wêglowodany	gluten	
wino czerwone pó³s³odkie	78	0	0	0,9	mo¿e zawieraæ	
wino czerwone s³odkie	107	0,1	0	8,3	mo¿e zawieraæ	
wino czerwone wytrawne	68	0	0	0,4	mo¿e zawieraæ	
winogrona	72	0,8	0,2	18,4	nie zawiera	
wiœnie	49	0,7	0,5	11,2	nie zawiera	
wiœnie suszone	273	5,4	2,6	65,2	mo¿e zawieraæ	
woda mineralna	0	0	0	0	nie zawiera	
wódka czysta	224	0	0	0	nie zawiera	
zabielacz do kawy, proszek	105	2,7	7,6	10,5	mo¿e zawieraæ	
ziemniaki	75	1,7	0,2	19	nie zawiera	
ziemniaki bez skóry opiekane	110	2,3	0,2	25,6	nie zawiera	
ziemniaki gotowane	104	2,3	0,1	23,6	nie zawiera	
ziemniaki póŸne	87	2	0,2	21,1	nie zawiera	
ziemniaki póŸne gotowane	115	2	0,2	26,8	nie zawiera	
ziemniaki purée	120	2,3	2,7	21,6	nie zawiera	
ziemniaki wczesne	67	1,9	0,2	16,6	nie zawiera	
ziemniaki wczesne gotowane	93	2,1	0,2	21,3	nie zawiera	
¿o³¹dki drobiowe	120	18,8	3,9	0,5	nie zawiera	
¿o³¹dki drobiowe gotowane	157	27,5	3,9	1,3	nie zawiera	
¿urawina	50	0,5	0,2	13	nie zawiera	
